case	verdict	note
i7b-b-01C37	pass	
i7b-b-01CD0	pass	
i7b-b-01CD4	pass	
i7b-b-01CED	pass	
i7b-b-01CF4	pass	
i7b-b-01CF7	pass	
i7b-b-01DC0	pass	
i7b-b-01DF5	pass	
i7b-b-020D0	pass	
i7b-b-02CEF	pass	
i7b-b-02D7F	pass	
i7b-b-0A66F	pass	
i7b-b-0A67C	pass	
i7b-b-0A6F0	pass	
i7b-b-0A806	pass	
i7b-b-0A82C	pass	
i7b-b-0A8C4	pass	
i7b-b-0A8E0	pass	
i7b-b-0A92B	pass	
i7b-b-0A953	pass	
