# date: 2026-08-08T17:25:14Z
# machine: Apple M5, macOS 26.6
# warmup: 3  min_time: 1.0s
# swift: Apple Swift version 6.3.3 (swiftlang-6.3.3.1.3 clang-2100.1.1.101)
# rustc: rustc 1.96.1 (31fca3adb 2026-06-26)
# go: go version go1.26.5 darwin/arm64
# node: v26.5.0
# emacs: GNU Emacs 30.2
# note: the five syn-emphasis rows were re-measured minutes after the sweep,
# under the same binaries (SKIP_BUILD), because a background screen-render
# poisoned that file's window in the sweep proper. All three measurements of
# every re-measured row are recorded in bench/results/deltas.md.
runner	file	bytes	iters	median_ns	min_ns	mib_s
orgize	misc.org	5417	20000	23250	19542	222.20
go-org	misc.org	5417	3951	239083	229125	21.61
uniorg	misc.org	5417	169	6038583	5591417	0.86
org-element	misc.org	5417	297	3182000	2992000	1.62
organism	options.org	1822	15706	51750	50250	33.58
orgize	options.org	1822	20000	4792	4542	362.60
go-org	options.org	1822	20000	30250	28792	57.44
uniorg	options.org	1822	852	1068604	1000458	1.63
org-element	options.org	1822	1862	516000	492000	3.37
organism	paragraphs.org	262	20000	14000	13000	17.85
orgize	paragraphs.org	262	20000	875	750	285.56
go-org	paragraphs.org	262	20000	8625	8125	28.97
uniorg	paragraphs.org	262	3688	244542	236791	1.02
org-element	paragraphs.org	262	7299	135000	107000	1.85
organism	tables.org	1369	9736	92041	84750	14.18
orgize	tables.org	1369	20000	9291	8375	140.52
go-org	tables.org	1369	18677	59500	47292	21.94
uniorg	tables.org	1369	345	2339792	2180125	0.56
org-element	tables.org	1369	1270	745000	699000	1.75
organism	blocks.org	5994	2447	350750	336666	16.30
orgize	blocks.org	5994	20000	21500	20875	265.88
go-org	blocks.org	5994	3599	250333	245375	22.83
uniorg	blocks.org	5994	283	3492667	3341292	1.64
org-element	blocks.org	5994	508	1947500	1841000	2.94
organism	headings.org	1241	10685	82167	80333	14.40
orgize	headings.org	1241	20000	10583	10041	111.83
go-org	headings.org	1241	10296	76083	68916	15.56
uniorg	headings.org	1241	435	2444000	2212166	0.48
org-element	headings.org	1241	724	1295000	1192000	0.91
organism	keywords.org	1151	8447	103708	100958	10.58
orgize	keywords.org	1151	20000	7333	6959	149.69
go-org	keywords.org	1151	14953	48250	46333	22.75
uniorg	keywords.org	1151	656	1387708	1323916	0.79
org-element	keywords.org	1151	991	943000	895000	1.16
organism	lists.org	289	20000	21875	21041	12.60
orgize	lists.org	289	20000	3042	2875	90.60
go-org	lists.org	289	20000	39250	37792	7.02
uniorg	lists.org	289	1561	607209	587791	0.45
org-element	lists.org	289	2032	494000	428000	0.56
organism	pathological.org	64	20000	5417	5125	11.27
orgize	pathological.org	64	20000	750	666	81.38
go-org	pathological.org	64	20000	4708	3583	12.96
uniorg	pathological.org	64	4760	164792	147084	0.37
org-element	pathological.org	64	5291	116000	74000	0.53
organism	tags.org	931	7597	117583	114542	7.55
orgize	tags.org	931	20000	7750	7375	114.56
go-org	tags.org	931	17266	43542	42041	20.39
uniorg	tags.org	931	658	1451833	1371833	0.61
org-element	tags.org	931	976	1011000	969000	0.88
organism	text.org	4756	3440	242250	233625	18.72
orgize	text.org	4756	20000	20000	19167	226.78
go-org	text.org	4756	1244	193541	188791	23.44
uniorg	text.org	4756	161	6155167	5964917	0.74
org-element	text.org	4756	330	3259000	2903000	1.39
